Gene.Name	Gene.ID
DCL1	AT1G01040
LHY	AT1G01060
AT1G01080	AT1G01080
RPP1A	AT1G01100
NA	NA
AT1G01130	AT1G01130
AT1G01240	AT1G01240
BHLH13	AT1G01260
BHLH13	AT1G01260
AT1G01320	AT1G01320
PYL9	AT1G01360
APUM22	AT1G01410
UGT72B3	AT1G01420
TBL25	AT1G01430
LEA14	AT1G01470
AN	AT1G01510
RVE3	AT1G01520
AT1G01540	AT1G01540
BPS1	AT1G01550
FRO2	AT1G01580
FRO2	AT1G01580
NA	NA
GPAT4	AT1G01610
AT1G01630	AT1G01630
SPPL4	AT1G01650
SPPL4	AT1G01650
PUB56	AT1G01670
AT1G01710	AT1G01710
AT1G04043	AT1G04043
AT1G01760	AT1G01760
AT1G01770	AT1G01770
KEA1	AT1G01790
AT1G01800	AT1G01800
AT1G01830	AT1G01830
SBTI1.1	AT1G01900
ARK2	AT1G01950
BIG3	AT1G01960
AT1G01980	AT1G01980
AT1G02020	AT1G02020
SPL8	AT1G02065
AT1G02080	AT1G02080
VAD1	AT1G02120
AT1G02150	AT1G02150
AMC1	AT1G02170
AT1G02180	AT1G02180
AT1G04093	AT1G04093
NA	NA
NAC003	AT1G02220
AT1G02350	AT1G02350
GA2OX6	AT1G02400
COX11	AT1G02410
AT1G02475	AT1G02475
AT1G02480	AT1G02480
TPK4	AT1G02510
CLPP5	AT1G02560
AT1G02590	AT1G02590
AT1G02600	AT1G02600
AT1G02620	AT1G02620
AT1G02650	AT1G02650
AT1G02670	AT1G02670
IMPA6	AT1G02690
AT1G02705	AT1G02705
CSLD5	AT1G02730
DI19-2	AT1G02750
AT1G02813	AT1G02813
NA	NA
AT1G02890	AT1G02890
GSTF6	AT1G02930
AT1G03030	AT1G03030
AT1G03050	AT1G03050
SPI	AT1G03060
AT1G03070	AT1G03070
NET1D	AT1G03080
MCCA	AT1G03090
AT1G03110	AT1G03110
AT1G03140	AT1G03140
AT1G03150	AT1G03150
FZL	AT1G03160
AT1G03180	AT1G03180
AT1G03200	AT1G03200
AT1G03230	AT1G03230
NA	NA
CBSDUF4	AT1G03270
AT1G03290	AT1G03290
ISA2	AT1G03310
AT1G03350	AT1G03350
RRP4	AT1G03360
AT1G03440	AT1G03440
BSU1	AT1G03445
NET3A	AT1G03470
AT1G03515	AT1G03515
SCAMP2	AT1G03550
PPC6-6	AT1G03590
AT1G03620	AT1G03620
PORC	AT1G03630
AT1G03620	AT1G03620
AT1G03740	AT1G03740
TPX2	AT1G03780
AT1G03810	AT1G03810
AT1G03810	AT1G03810
AT1G03830	AT1G03830
GRXS13	AT1G03850
FLA9	AT1G03870
ABCI19	AT1G03905
RIC8	AT1G03982
PSAT	AT1G04010
AT1G04020	AT1G04020
NA	NA
NA	NA
SUVR1	AT1G04050
TOM9-1	AT1G04070
AT1G04080	AT1G04080
IAA10	AT1G04100
SBT1.2	AT1G04110
ABCC5	AT1G04120
AT1G04243	AT1G04243
AT1G04150	AT1G04150
YUC9	AT1G04180
AT1G04190	AT1G04190
KCS2	AT1G04220
AT1G04230	AT1G04230
IAA17	AT1G04250
RPS15A	AT1G04270
ATL1	AT1G04360
MDH1	AT1G04410
AT1G04420	AT1G04420
AT1G04425	AT1G04425
AT1G04445	AT1G04445
AT1G04263	AT1G04263
RPL23A	AT1G04480
AT1G04500	AT1G04500
AT1G04590	AT1G04590
NA	NA
HCAR	AT1G04620
AT1G04283	AT1G04283
NA	NA
KAB1	AT1G04690
KAT1	AT1G04710
AT1G04770	AT1G04770
NA	NA
TUBA4	AT1G04820
AT1G04850	AT1G04850
SPS3	AT1G04920
AT1G04930	AT1G04930
AT1G04945	AT1G04945
TIC20-I	AT1G04940
PDIL2-2	AT1G04980
PDIL2-2	AT1G04980
AT1G04990	AT1G04990
AT1G05000	AT1G05000
ACO4	AT1G05010
AT1G05035	AT1G05035
AT1G05080	AT1G05080
AT1G04333	AT1G04333
AT1G05100	AT1G05100
AT1G05120	AT1G05120
RPL6	AT1G05190
GLR3.4	AT1G05200
NA	NA
AT1G04377	AT1G04377
AT1G04377	AT1G04377
AT1G05340	AT1G05340
AT1G05350	AT1G05350
NA	NA
AT1G05440	AT1G05440
SYT5	AT1G05500
UGT75B2	AT1G05530
AT1G05575	AT1G05575
UGT74E2	AT1G05680
AT1G04407	AT1G04407
AT1G04427	AT1G04427
RABA5E	AT1G05810
AT1G05840	AT1G05840
CTL1	AT1G05850
AT1G05870	AT1G05870
CAT9	AT1G05940
AT1G05960	AT1G05960
UGT89C1	AT1G06000
BBX24	AT1G06040
GLX2-4	AT1G06130
AT1G06148	AT1G06148
AT1G06180	AT1G06180
RHON1	AT1G06190
AT1G06200	AT1G06200
AT1G06210	AT1G06210
CLO	AT1G06220
ACX3	AT1G06290
AT1G06330	AT1G06330
AT1G06360	AT1G06360
AT1G04453	AT1G04453
FTSH8	AT1G06430
AT1G06480	AT1G06480
CALS7	AT1G06490
AT1G06515	AT1G06515
AT1G06510	AT1G06510
AT1G06550	AT1G06550
HPD	AT1G06570
AT1G06610	AT1G06610
AT1G06650	AT1G06650
PSBP1	AT1G06680
AT1G06690	AT1G06690
AT1G06740	AT1G06740
AT1G06760	AT1G06760
GAUT6	AT1G06780
AT1G04507	AT1G04507
AT1G04523	AT1G04523
AT1G06900	AT1G06900
AT1G06923	AT1G06923
TIC110	AT1G06950
AT1G06960	AT1G06960
NA	NA
AT1G06980	AT1G06980
AT1G07000	AT1G07000
p_MI0005410	AT1G07051
AT1G07060	AT1G07060
RPL35AA	AT1G07070
AT1G07080	AT1G07080
FKFBP	AT1G07110
AT1G07119	AT1G07119
AT1G07120	AT1G07120
RANBP1A	AT1G07140
AT1G07150	AT1G07150
NDA1	AT1G07180
AT1G07210	AT1G07210
AT1G07210	AT1G07210
UGT71C4	AT1G07250
CDC6B	AT1G07270
AT1G04573	AT1G04573
AT1G07310	AT1G07310
RPL4	AT1G07320
AT1G07380	AT1G07380
AT1G07380	AT1G07380
SMO2-2	AT1G07420
AIP1	AT1G07430
AT1G07470	AT1G07470
AT1G07480	AT1G07480
AT1G07500	AT1G07500
NA	NA
APK1A	AT1G07570
APK1A	AT1G07570
PLL5	AT1G07630
AT1G07645	AT1G07645
ECA4	AT1G07670
AT1G04623	AT1G04623
RPS15AA	AT1G07770
AT1G07790	AT1G07790
AT1G07820	AT1G07820
AT1G07830	AT1G07830
AT1G07870	AT1G07870
AT1G07901	AT1G07901
A3	AT1G07930
A3	AT1G07940
AT1G07985	AT1G07985
AT1G08040	AT1G08040
ACA7	AT1G08080
NRT2.1	AT1G08090
NRT2.2	AT1G08100
AT1G08120	AT1G08120
LIG1	AT1G08130
VPS41	AT1G08190
AXS2	AT1G08200
AT1G08210	AT1G08210
GALT29A	AT1G08280
AT1G08300	AT1G08300
TMN5	AT1G08350
RPL10AA	AT1G08360
MAG2L	AT1G08400
LSG1-2	AT1G08410
CRT3	AT1G08450
SDH6	AT1G08480
CHLD	AT1G08520
KN	AT1G08560
KN	AT1G08560
AT1G08592	AT1G08592
AT1G08645	AT1G08645
EDR1	AT1G08720
CSD1	AT1G08830
AT1G08910	AT1G08910
NFYC9	AT1G08970
SRC2	AT1G09070
MED37B	AT1G09080
CLPR3	AT1G09130
SR30	AT1G09140
AT1G09150	AT1G09150
SR30	AT1G09140
AT1G09180	AT1G09180
HTR13	AT1G09200
SNRNP65	AT1G09230
AT1G09260	AT1G09260
GOLS3	AT1G09350
AT1G09380	AT1G09380
AT1G09420	AT1G09420
ACLA-3	AT1G09430
AT1G09470	AT1G09470
AT1G09520	AT1G09520
GLP4	AT1G09560
AT1G09580	AT1G09580
AT1G09600	AT1G09600
AT1G09645	AT1G09645
AT1G09660	AT1G09660
RPL21A	AT1G09690
ULP2B	AT1G09730
AT1G09740	AT1G09740
CDC5	AT1G09770
HISN1B	AT1G09795
AT1G09800	AT1G09800
AT1G04733	AT1G04733
PUR2	AT1G09830
AT1G09870	AT1G09870
AT1G09920	AT1G09920
AT1G09950	AT1G09950
AT1G04753	AT1G04753
AT1G09980	AT1G09980
AT1G10030	AT1G10030
AT1G10020	AT1G10020
BCAT2	AT1G10070
AT1G10090	AT1G10090
AT1G04763	AT1G04763
PP2A10	AT1G10150
EXO84C	AT1G10180
ASK18	AT1G10230
GRP23	AT1G10270
AT1G10280	AT1G10280
GSTU17	AT1G10370
AT1G10410	AT1G10410
PP2A2	AT1G10430
GLP7	AT1G10460
ISCA	AT1G10500
AT1G10510	AT1G10510
AT1G10530	AT1G10530
NAT8	AT1G10540
PUB18	AT1G10560
AT1G10580	AT1G10580
AT1G10590	AT1G10590
NA	NA
NA	NA
AT1G04813	AT1G04813
AT1G10682	AT1G10682
AT1G10682	AT1G10682
PRS3	AT1G10700
ESF1.2	AT1G10745
NA	NA
AT1G10865	AT1G10865
AT1G10910	AT1G10910
SRK2A	AT1G10940
FD1	AT1G10960
AT1G11010	AT1G11010
AT1G11020	AT1G11020
AT1G11050	AT1G11050
AT1G11090	AT1G11090
SUB	AT1G11130
SCAMP5	AT1G11180
ENDO1	AT1G11190
AT1G11230	AT1G11230
NA	NA
MLO2	AT1G11310
AT1G11330	AT1G11330
AT1G11390	AT1G11390
AT1G11400	AT1G11400
AT1G11440	AT1G11440
NRPB10	AT1G11475
AT1G11480	AT1G11480
AT1G11592	AT1G11592
CYP71A18	AT1G11610
AT1G11640	AT1G11640
RBP45B	AT1G11650
AT1G11655	AT1G11655
NA	NA
DTX36	AT1G11670
AT1G11700	AT1G11700
SS3	AT1G11720
CLPP6	AT1G11750
AT1G11800	AT1G11800
AT1G11820	AT1G11820
OVA7	AT1G11870
SEC22	AT1G11890
APA1	AT1G11910
AT1G11940	AT1G11940
AT1G11950	AT1G11950
AT1G11970	AT1G11970
AT1G12030	AT1G12030
AT1G12070	AT1G12070
AT1G12070	AT1G12070
NA	NA
NA	NA
AT1G12130	AT1G12130
FMOGS-OX5	AT1G12140
AT1G12180	AT1G12180
AT1G12200	AT1G12200
AT1G12200	AT1G12200
BFRUCT4	AT1G12240
TL20.3	AT1G12250
AT1G12290	AT1G12290
AT1G12300	AT1G12300
AT1G04947	AT1G04947
AT1G12340	AT1G12340
PHR1	AT1G12370
PHR1	AT1G12370
AT1G12390	AT1G12390
ACR8	AT1G12420
ACR8	AT1G12420
ARK3	AT1G12430
AT1G12460	AT1G12460
AT1G12500	AT1G12500
AT1G12580	AT1G12580
UTR4	AT1G12600
LPLAT1	AT1G12640
AT1G12650	AT1G12650
AT1G12672	AT1G12672
AT1G04967	AT1G04967
RBL6	AT1G12750
AT1G12760	AT1G12760
NA	NA
AT1G12800	AT1G12800
AFB3	AT1G12820
AT1G12830	AT1G12830
GAPA2	AT1G12900
ERF1-2	AT1G12920
DTX31	AT1G12950
RPL27AA	AT1G12960
AT1G12990	AT1G12990
AT1G13000	AT1G13000
EIF4B2	AT1G13020
CYP71B28	AT1G13090
CRWN2	AT1G13220
AT1G04997	AT1G04997
RAV1	AT1G13260
MAP1B	AT1G13270
AT1G13310	AT1G13310
AT1G13360	AT1G13360
AT1G05007	AT1G05007
B'THETA	AT1G13460
AT1G13470	AT1G13470
PSK1	AT1G13590
AT1G13605	AT1G13605
PI4KG6	AT1G13640
AT1G13670	AT1G13670
AFP2	AT1G13740
AT1G13820	AT1G13820
AT1G13825	AT1G13825
KTI12	AT1G13870
AT1G13880	AT1G13880
PAP2	AT1G13900
AT1G13910	AT1G13910
AT1G13930	AT1G13930
WRKY4	AT1G13960
GN	AT1G13980
AT1G13990	AT1G13990
AT1G14010	AT1G14010
PUMP3	AT1G14140
PNSL2	AT1G14150
AT1G14205	AT1G14205
AT1G14310	AT1G14310
AT1G14340	AT1G14340
AT1G14345	AT1G14345
UTR3	AT1G14360
AT1G14380	AT1G14380
AT59	AT1G14420
AT1G14453	AT1G14453
AT1G05093	AT1G05093
AL7	AT1G14510
MIOX1	AT1G14520
THH1	AT1G14530
IDD6	AT1G14580
IDD6	AT1G14580
AT1G14620	AT1G14620
AT1G14640	AT1G14640
AT1G05113	AT1G05113
NA	NA
XTH28	AT1G14720
OBE3	AT1G14740
SDS	AT1G14750
RDR1	AT1G14790
DRP1C	AT1G14830
NUDT18	AT1G14860
NUP155	AT1G14850
HMGA	AT1G14900
AT1G05133	AT1G05133
GAI	AT1G14920
AT1G15010	AT1G15010
AT1G15030	AT1G15030
AT1G15060	AT1G15060
RHA2A	AT1G15100
AT1G15120	AT1G15120
AT1G15130	AT1G15130
AT1G15140	AT1G15140
AT1G15175	AT1G15175
AT1G15230	AT1G15230
AT1G15240	AT1G15240
RPL37A	AT1G15250
AT1G15260	AT1G15260
AT1G15290	AT1G15290
SRP-54A	AT1G15310
AT1G15320	AT1G15320
PV42A	AT1G15330
MBD10	AT1G15340
AT1G15380	AT1G15380
AT1G15420	AT1G15420
AT1G15440	AT1G15440
AT1G15450	AT1G15450
AATP2	AT1G15500
AT1G15540	AT1G15540
GA3OX1	AT1G15550
IAA5	AT1G15580
AT1G15680	AT1G15680
AVP1	AT1G15690
ATPC2	AT1G15700
AT1G05193	AT1G05193
AT1G15740	AT1G15740
TPL	AT1G15750
AT1G15810	AT1G15810
AT1G15820	AT1G15820
RPS12A	AT1G15930
NA	NA
PNSB1	AT1G15980
AT1G16060	AT1G16060
AT1G16080	AT1G16080
WAKL2	AT1G16130
WAKL4	AT1G16150
AT1G16170	AT1G16170
AT1G16180	AT1G16180
AT1G16220	AT1G16220
SYP51	AT1G16240
AT1G16270	AT1G16270
AT1G16290	AT1G16290
GAPCP2	AT1G16300
AT1G16320	AT1G16320
AT1G16330	AT1G16330
ALIS4	AT1G16360
STR2	AT1G16460
PAB1	AT1G16470
AT1G05237	AT1G05237
SAUR41	AT1G16510
AT1G16515	AT1G16515
AT1G16560	AT1G16560
SR45	AT1G16610
AT1G16630	AT1G16630
AT1G16650	AT1G16650
AT1G16670	AT1G16670
AT1G16700	AT1G16700
AT1G16720	AT1G16720
AT1G16730	AT1G16730
AT1G16740	AT1G16740
AT1G16790	AT1G16790
AT1G16820	AT1G16820
AT1G05273	AT1G05273
AT1G16850	AT1G16850
AT1G16870	AT1G16870
ACR11	AT1G16880
AT1G05283	AT1G05283
SPS2	AT1G17050
STIPL1	AT1G17070
AT1G17100	AT1G17100
CAT8	AT1G17120
AT1G17150	AT1G17150
AT1G17160	AT1G17160
GSTU26	AT1G17190
AT1G17200	AT1G17200
AT1G17210	AT1G17210
AT1G17220	AT1G17220
AT1G17235	AT1G17235
AT1G17232	AT1G17232
AT1G17250	AT1G17250
ALAAT1	AT1G17290
AT1G17360	AT1G17360
UBP1B	AT1G17370
TIFY11A	AT1G17380
AT1G17400	AT1G17400
AT1G17400	AT1G17400
TAF12B	AT1G17440
