Gene.Name	Gene.ID
PI4KG6	AT1G13640
AT1G72020	AT1G72020
AT1G72030	AT1G72030
AT1G77350	AT1G77350
AT1G16730	AT1G16730
AT1G16740	AT1G16740
GOLS3	AT1G09350
NA	NA
SPL14	AT1G20980
AT1G56440	AT1G56440
PBG1	AT1G56450
AT1G09660	AT1G09660
IRX9H	AT1G27600
AT1G78130	AT1G78130
AT1G73230	AT1G73230
PMI1	AT1G42550
GLCNAC1PUT1	AT1G31070
RPS15A	AT1G04270
CAT8	AT1G17120
NIFU5	AT1G51390
WRKY6	AT1G62300
AT1G14010	AT1G14010
TAA1	AT1G70560
AT1G05100	AT1G05100
BOR5	AT1G74810
WIT2	AT1G68910
GALT4	AT1G27120
AGC1-7	AT1G79250
AT1G04263	AT1G04263
RPL23A	AT1G04480
AT1G28680	AT1G28680
AMY3	AT1G69830
AT1G69990	AT1G69990
NA	NA
TOM7-2	AT1G64220
AT1G21480	AT1G21480
PERK13	AT1G70460
AT1G75295	AT1G75295
AT1G02150	AT1G02150
NA	NA
AT1G22060	AT1G22060
BBD2	AT1G19660
RHM1	AT1G78570
AT1G27050	AT1G27050
AT1G64190	AT1G64190
TPS6	AT1G68020
AT1G66890	AT1G66890
AT1G49250	AT1G49250
AT1G11090	AT1G11090
AT1G48310	AT1G48310
AT1G48315	AT1G48315
AT1G05407	AT1G05407
AT1G19530	AT1G19530
ARF6	AT1G30330
STIPL1	AT1G17070
AT1G68500	AT1G68500
AT1G68300	AT1G68300
AE7	AT1G68310
TBL2	AT1G60790
AT1G61840	AT1G61840
RPS12A	AT1G15930
AT1G16870	AT1G16870
ACR11	AT1G16880
NA	NA
ARPC3	AT1G60430
AT1G21790	AT1G21790
IDM3	AT1G20870
AT1G20875	AT1G20875
AT1G24460	AT1G24460
ETFA	AT1G50940
AT1G11480	AT1G11480
NAC021	AT1G56010
AT1G32660	AT1G32660
AT1G51745	AT1G51745
HHL1	AT1G67700
TMM	AT1G80080
AT1G07820	AT1G07820
AT1G07830	AT1G07830
SGRL	AT1G44000
AT1G71840	AT1G71840
ZAT10	AT1G27730
NAC014	AT1G33060
UBP1A	AT1G54080
AT1G54360	AT1G54360
AT1G69900	AT1G69900
NA	NA
AT1G21050	AT1G21050
AT1G14380	AT1G14380
BZIP60	AT1G42990
PRR1	AT1G32100
ATHX	AT1G50320
AT1G70420	AT1G70420
ERF073	AT1G72360
AT1G23110	AT1G23110
AT1G35515	AT1G35515
NA	NA
AT1G57765	AT1G57765
AT1G76460	AT1G76460
MI0020196	AT1G05627
PI4KG5	AT1G26270
AT1G75650	AT1G75650
ERF11	AT1G28370
TPS10	AT1G60140
AGP5	AT1G35230
NA	NA
PUP11	AT1G44750
AT1G48620	AT1G48620
p_MI0001441	AT1G60025
TSA1	AT1G52410
AT1G63610	AT1G63610
AT1G64110	AT1G64110
AT1G27150	AT1G27150
AT1G18610	AT1G18610
AT1G50280	AT1G50280
AT1G52080	AT1G52080
KIN7C	AT1G21730
SR45	AT1G16610
AT1G67360	AT1G67360
AT1G74510	AT1G74510
ARAC5	AT1G75840
AT1G12030	AT1G12030
AT1G23190	AT1G23190
ERD2A	AT1G29330
AT1G35545	AT1G35545
AT1G08592	AT1G08592
ALAAT1	AT1G17290
AT1G10090	AT1G10090
AT1G26790	AT1G26790
AT1G27670	AT1G27670
AT1G17210	AT1G17210
AT1G17220	AT1G17220
AP180	AT1G05020
AT1G57680	AT1G57680
RABA5E	AT1G05810
NA	NA
AT1G21090	AT1G21090
AT1G26620	AT1G26620
AHL29	AT1G76500
AT1G10910	AT1G10910
AT1G15440	AT1G15440
AT1G15450	AT1G15450
AT1G57600	AT1G57600
PNSB1	AT1G15980
XLG3	AT1G31930
TGA3	AT1G22070
PHR1	AT1G12370
