TF AGI,TF Gene Name,type,Promoter AGI,Promoter Gene Name,NUE number,TF Family
AT1G24625,ZFP7,PD,AT3G26810,AFB2,AFB2,C2H2
AT1G27730,STZ,PD,AT3G26810,AFB2,AFB2,C2H2
AT1G30490,PHV,PD,AT3G26810,AFB2,AFB2,HB
AT1G30970,SUF4,PD,AT3G26810,AFB2,AFB2,C2H2
AT1G58220,AT1G58220,PD,AT3G26810,AFB2,AFB2,MYB
AT1G68200,AT1G68200,PD,AT3G26810,AFB2,AFB2,C3H
AT1G72570,AIL1,PD,AT3G26810,AFB2,AFB2,
AT1G80840,WRKY40,PD,AT3G26810,AFB2,AFB2,WRKY
AT2G21230,BZIP30,PD,AT3G26810,AFB2,AFB2,BZIP
AT2G23320,WRKY15,PD,AT3G26810,AFB2,AFB2,WRKY
AT2G36270,ABI5,PD,AT3G26810,AFB2,AFB2,BZIP
AT3G01970,WRKY45,PD,AT3G26810,AFB2,AFB2,WRKY
AT3G21175,ZML1,PD,AT3G26810,AFB2,AFB2,C2C2-GATA
AT3G61150,HDG1,PD,AT3G26810,AFB2,AFB2,
AT4G01120,GBF2,PD,AT3G26810,AFB2,AFB2,BZIP
AT4G01250,WRKY22,PD,AT3G26810,AFB2,AFB2,WRKY
AT4G24240,WRKY7,PD,AT3G26810,AFB2,AFB2,WRKY
AT4G32880,HB8,PD,AT3G26810,AFB2,AFB2,HB
AT5G39610,NAC6,PD,AT3G26810,AFB2,AFB2,NAC
AT5G53950,CUC2,PD,AT3G26810,AFB2,AFB2,NAC
AT1G12610,DDF1,PD,AT1G12820,AFB3,AFB3,AP2/EREBP
AT1G22810,ERF019,PD,AT1G12820,AFB3,AFB3,AP2/EREBP
AT1G24625,ZFP7,PD,AT1G12820,AFB3,AFB3,C2H2
AT1G50640,ERF3,PD,AT1G12820,AFB3,AFB3,AP2/EREBP
AT1G51600,ZML2,PD,AT1G12820,AFB3,AFB3,C2C2-GATA
AT1G54060,ASIL1,PD,AT1G12820,AFB3,AFB3,TRIHELIX
AT1G58100,TCP8,PD,AT1G12820,AFB3,AFB3,TCP
AT1G61730,AT1G61730,PD,AT1G12820,AFB3,AFB3,GEBP
AT1G71130,ERF070,PD,AT1G12820,AFB3,AFB3,AP2/EREBP
AT2G23290,MYB70,PD,AT1G12820,AFB3,AFB3,MYB
AT2G38340,DREB19,PD,AT1G12820,AFB3,AFB3,AP2/EREBP
AT2G40620,AT2G40620,PD,AT1G12820,AFB3,AFB3,BZIP
AT2G40950,BZIP17,PD,AT1G12820,AFB3,AFB3,BZIP
AT2G44730,AT2G44730,PD,AT1G12820,AFB3,AFB3,TRIHELIX
AT3G24050,GATA1,PD,AT1G12820,AFB3,AFB3,C2C2-GATA
AT3G25730,EDF3,PD,AT1G12820,AFB3,AFB3,AP2/EREBP
AT3G46600,SCL30,PD,AT1G12820,AFB3,AFB3,GRAS
AT3G54390,AT3G54390,PD,AT1G12820,AFB3,AFB3,TRIHELIX
AT3G54810,GATA8,PD,AT1G12820,AFB3,AFB3,C2C2-GATA
AT3G61830,ARF18,PD,AT1G12820,AFB3,AFB3,ARF
AT4G01120,GBF2,PD,AT1G12820,AFB3,AFB3,BZIP
AT4G17490,ERF6,PD,AT1G12820,AFB3,AFB3,AP2/EREBP
AT4G23980,ARF9,PD,AT1G12820,AFB3,AFB3,ARF
AT4G29080,PAP2,PD,AT1G12820,AFB3,AFB3,AUX/IAA
AT4G32890,GATA9,PD,AT1G12820,AFB3,AFB3,C2C2-GATA
AT4G36730,GBF1,PD,AT1G12820,AFB3,AFB3,BZIP
AT5G06960,OBF5,PD,AT1G12820,AFB3,AFB3,BZIP
AT5G13330,Rap2.6L,PD,AT1G12820,AFB3,AFB3,AP2/EREBP
AT5G15210,HB30,PD,AT1G12820,AFB3,AFB3,ZF-HD
AT5G25830,GATA12,PD,AT1G12820,AFB3,AFB3,C2C2-GATA
AT5G51990,CBF4,PD,AT1G12820,AFB3,AFB3,AP2/EREBP
AT5G52020,ERF025,PD,AT1G12820,AFB3,AFB3,AP2/EREBP
AT5G66320,GATA5,PD,AT1G12820,AFB3,AFB3,C2C2-GATA
AT1G06070,AT1G06070,PD,AT1G30330,ARF6,ARF6,BZIP
AT1G24625,ZFP7,PD,AT1G30330,ARF6,ARF6,C2H2
AT1G30490,PHV,PD,AT1G30330,ARF6,ARF6,HB
AT1G69600,ZFHD1,PD,AT1G30330,ARF6,ARF6,ZF-HD
AT1G73360,HDG11,PD,AT1G30330,ARF6,ARF6,
AT1G75240,HB33,PD,AT1G30330,ARF6,ARF6,ZF-HD
AT2G21230,BZIP30,PD,AT1G30330,ARF6,ARF6,BZIP
AT2G33860,ETT,PD,AT1G30330,ARF6,ARF6,ARF
AT3G11280,AT3G11280,PD,AT1G30330,ARF6,ARF6,MYB
AT3G15170,CUC1,PD,AT1G30330,ARF6,ARF6,NAC
AT3G23030,IAA2,PD,AT1G30330,ARF6,ARF6,AUX/IAA
AT4G01250,WRKY22,PD,AT1G30330,ARF6,ARF6,WRKY
AT5G10510,AIL6,PD,AT1G30330,ARF6,ARF6,AP2/EREBP
AT5G51990,CBF4,PD,AT1G30330,ARF6,ARF6,AP2/EREBP
AT5G53950,CUC2,PD,AT1G30330,ARF6,ARF6,NAC
AT5G67300,MYB44,PD,AT1G30330,ARF6,ARF6,MYB
AT1G10480,ZFP5,PD,AT5G37020,ARF8,ARF8,C2H2
AT1G13960,WRKY4,PD,AT5G37020,ARF8,ARF8,WRKY
AT1G24625,ZFP7,PD,AT5G37020,ARF8,ARF8,C2H2
AT1G61730,AT1G61730,PD,AT5G37020,ARF8,ARF8,GEBP
AT1G67030,ZFP6,PD,AT5G37020,ARF8,ARF8,C2H2
AT2G04880,ZAP1,PD,AT5G37020,ARF8,ARF8,WRKY
AT2G21230,BZIP30,PD,AT5G37020,ARF8,ARF8,BZIP
AT2G24570,WRKY17,PD,AT5G37020,ARF8,ARF8,WRKY
AT2G24790,COL3,PD,AT5G37020,ARF8,ARF8,C2C2-CO-LIKE
AT2G38340,DREB19,PD,AT5G37020,ARF8,ARF8,AP2/EREBP
AT2G38470,WRKY33,PD,AT5G37020,ARF8,ARF8,WRKY
