TF_probe,Promoter_probe,TF_AGI,TF_Gene_Name,type,Promoter_AGI,Promoter_Gene_Name,NUE_num,TF.Family,Pearson,Spearman,GiffordPearson,GiffordSpearman
X258026_at,X259705_at,AT3G19290,ABF4,PD,AT1G77450,ANAC032,NUE083,BZIP,0.329298859,0.467563025,0.785163916,0.806593407
X258026_at,X247629_at,AT3G19290,ABF4,PD,AT5G60410,SIZ1,NUE074,BZIP,0.362617303,0.135366146,0.862847993,0.63956044
X258026_at,X252589_s_at,AT3G19290,ABF4,PD,AT3G45650,NPF2.7,NUE066,BZIP,0.457669403,0.290948379,0.78663059,0.621978022
X266152_s_at,X257213_at,AT5G10510,AIL6,PD,AT3G15020,MMDH2,NUE097,AP2/EREBP,-0.63627841,-0.671452581,-0.749462126,-0.824175824
X266152_s_at,X254141_at,AT5G10510,AIL6,PD,AT4G24620,PGI1,NUE029,AP2/EREBP,-0.540673551,-0.568115246,-0.6817578,-0.701098901
X266152_s_at,X259681_at,AT5G10510,AIL6,PD,AT1G77760,NIA1,NUE010,AP2/EREBP,-0.289534528,-0.401488595,-0.629349486,-0.749450549
X250426_at,X256311_at,AT5G10510,AIL6,PD,AT1G30330,ARF6,ARF6,AP2/EREBP,0.372845351,0.278079232,0.777353402,0.78021978
X261585_at,X267142_at,AT1G01010,ANAC001,PD,AT2G38290,AMT2;1,NUE009,NAC,0.696203395,0.509819928,0.664600376,0.538461538
X264148_at,X267142_at,AT1G02220,ANAC003,PD,AT2G38290,AMT2;1,NUE009,NAC,0.502337396,0.382472989,0.678761131,0.705494505
X255794_at,X250580_at,AT2G33480,ANAC041,PD,AT5G07440,GDH2,NUE017,NAC,-0.344167929,-0.432220888,0.609642471,0.701098901
X258809_at,X249309_at,AT3G04070,ANAC047,PD,AT5G41410,BEL1,NUE076,NAC,0.511153856,0.43270108,0.119739814,0.151648352
X258921_at,X246831_at,AT3G10500,ANAC053,PD,AT5G26340,MSS1,NUE061,NAC,0.286246248,0.276926771,0.713608887,0.679120879
X247351_at,X263472_at,AT5G63790,ANAC102,PD,AT2G31955,CNX2,NUE120,NAC,0.182292109,0.247635054,0.811488584,0.846153846
X251289_at,X259681_at,AT3G61830,ARF18,PD,AT1G77760,NIA1,NUE010,ARF,0.504953675,0.502617047,0.569447725,0.657142857
X251289_at,X248551_at,AT3G61830,ARF18,PD,AT5G50200,NRT3.1,NUE007,ARF,0.512880965,0.392076831,0.016055805,0.010989011
X251289_at,X262180_at,AT3G61830,ARF18,PD,AT1G78050,PGM1,NUE124,ARF,0.51724977,0.425594238,0.118524291,0.415384615
X251289_at,X254141_at,AT3G61830,ARF18,PD,AT4G24620,PGI1,NUE029,ARF,0.547550032,0.440672269,0.494111043,0.516483516
X251289_at,X245977_at,AT3G61830,ARF18,PD,AT5G13110,G6PD2,NUE023,ARF,0.548527788,0.459207683,0.311263068,0.384615385
X251289_at,X252407_at,AT3G61830,ARF18,PD,AT3G47520,MDH,NUE022,ARF,0.596958842,0.481488595,0.351577714,0.459340659
X254194_at,X247218_at,AT4G23980,ARF9,PD,AT5G65010,ASN2,NUE019,ARF,-0.413330964,-0.369795918,-0.647372599,-0.78021978
X254194_at,X259705_at,AT4G23980,ARF9,PD,AT1G77450,ANAC032,NUE083,ARF,0.282792329,0.23755102,0.673359305,0.705494505
X254194_at,X247629_at,AT4G23980,ARF9,PD,AT5G60410,SIZ1,NUE074,ARF,0.32018905,0.156590636,0.709564594,0.595604396
X254194_at,X252589_s_at,AT4G23980,ARF9,PD,AT3G45650,NPF2.7,NUE066,ARF,0.486228054,0.405810324,0.783897191,0.397802198
X254194_at,X248970_at,AT4G23980,ARF9,PD,AT5G45380,DUR3,NUE068,ARF,0.54485165,0.554381753,0.570705828,0.362637363
X259967_at,X247761_at,AT1G76510,ARID5,PD,AT5G59160,TOPP2,NUE032,ARID,0.577335777,0.504921969,0.389168965,0.226373626
X263152_at,X263472_at,AT1G54060,ASIL1,PD,AT2G31955,CNX2,NUE120,TRIHELIX,0.240174577,0.197503001,0.801424867,0.723076923
X264398_at,X251436_at,AT1G61730,AT1G61730,PD,AT3G59900,ARGOS,NUE038,GEBP,0.108667852,0.023097239,0.714776802,0.745054945
X264398_at,X249126_at,AT1G61730,AT1G61730,PD,AT5G43380,TOPP6,NUE036,GEBP,0.446640619,0.240528211,0.703607874,0.569230769
X264398_at,X247218_at,AT1G61730,AT1G61730,PD,AT5G65010,ASN2,NUE019,GEBP,0.583069505,0.558319328,0.474624263,0.428571429
X266872_at,X262180_at,AT2G44730,AT2G44730,PD,AT1G78050,PGM1,NUE124,TRIHELIX,0.033857381,0.008403361,0.720646828,0.626373626
X266872_at,X263472_at,AT2G44730,AT2G44730,PD,AT2G31955,CNX2,NUE120,TRIHELIX,0.230643068,0.236494598,0.785084118,0.793406593
X266872_at,X252589_s_at,AT2G44730,AT2G44730,PD,AT3G45650,NPF2.7,NUE066,TRIHELIX,0.25135405,0.259063625,0.688537698,0.885714286
X266872_at,X249800_at,AT2G44730,AT2G44730,PD,AT5G23660,SWEET12,NUE079,TRIHELIX,0.512805073,0.463913565,0.069845135,0.12967033
X266872_at,X259705_at,AT2G44730,AT2G44730,PD,AT1G77450,ANAC032,NUE083,TRIHELIX,0.595418815,0.579543818,0.605720074,0.586813187
X266872_at,X259109_at,AT2G44730,AT2G44730,PD,AT3G05580,TOPP9,NUE037,TRIHELIX,0.611088825,0.566194478,0.29865699,0.261538462
X266514_at,X263472_at,AT2G47890,AT2G47890,PD,AT2G31955,CNX2,NUE120,C2C2-CO-LIKE,0.285962694,0.325042017,0.92426206,0.898901099
X265770_at,X250580_at,AT2G48100,AT2G48100,PD,AT5G07440,GDH2,NUE017,C2H2,0.607859867,0.627466987,0.767649796,0.784615385
X259293_at,X246996_at,AT3G11580,AT3G11580,PD,AT5G67420,LBD37,NUE071,ABI3/VP1,0.602143921,0.584729892,0.564200511,0.621978022
X259293_at,X264348_at,AT3G11580,AT3G11580,PD,AT1G12110,NPF6.3,NUE001,ABI3/VP1,0.65967733,0.724081633,0.69448044,0.617582418
X265160_at,X250580_at,AT1G31050,BHLH111,PD,AT5G07440,GDH2,NUE017,BHLH,-0.081534105,-0.061992797,0.724023959,0.723076923
X249074_at,X259705_at,AT5G44080,BZIP13,PD,AT1G77450,ANAC032,NUE083,BZIP,-0.319453219,-0.165714286,0.741201309,0.81978022
X245092_at,X261945_at,AT2G40950,BZIP17,PD,AT1G64530,NLP6,NUE132,BZIP,0.112115639,0.068427371,0.734156484,0.56043956
X254075_at,X263325_at,AT4G25470,CBF2,PD,AT2G04240,XERICO,NUE058,AP2/EREBP,-0.040669284,0.019543818,0.638601225,0.70989011
X254235_at,X252407_at,AT4G23750,CRF2,PD,AT3G47520,MDH,NUE022,AP2/EREBP,0.549443303,0.590108043,0.806011988,0.89010989
X255937_at,X247629_at,AT1G12610,DDF1,PD,AT5G60410,SIZ1,NUE074,AP2/EREBP,0.511310894,0.109339736,0.564799863,0.208791209
X252214_at,X263472_at,AT3G50260,DEAR1,PD,AT2G31955,CNX2,NUE120,AP2/EREBP,-0.139134229,0.007923169,0.69765082,0.731868132
X260856_at,X260856_at,AT1G21910,DREB26,PD,AT1G21910,DREB26,NUE134,AP2/EREBP,1,1,1,1
X250781_at,X256524_at,AT5G05410,DREB2A,PD,AT1G66200,GLN1;2,NUE014,AP2/EREBP,-0.025595569,0.067082833,0.554030751,0.727472527
X250781_at,X263325_at,AT5G05410,DREB2A,PD,AT2G04240,XERICO,NUE058,AP2/EREBP,0.075057167,0.057382953,0.630210312,0.705494505
X250781_at,X263472_at,AT5G05410,DREB2A,PD,AT2G31955,CNX2,NUE120,AP2/EREBP,0.208950511,0.405522209,0.776070887,0.841758242
X250781_at,X254167_at,AT5G05410,DREB2A,PD,AT4G24400,CIPK8,NUE064,AP2/EREBP,0.218120653,0.263865546,0.55404173,0.745054945
X250781_at,X250580_at,AT5G05410,DREB2A,PD,AT5G07440,GDH2,NUE017,AP2/EREBP,0.507961356,0.473901561,0.50500904,0.516483516
X261741_at,X249800_at,AT1G47870,E2Fc,PD,AT5G23660,SWEET12,NUE079,E2F/DP,-0.024523916,-0.056230492,0.703018593,0.731868132
X257643_at,X259705_at,AT3G25730,EDF3,PD,AT1G77450,ANAC032,NUE083,AP2/EREBP,-0.160548242,-0.015894358,0.850643756,0.775824176
X257643_at,X263325_at,AT3G25730,EDF3,PD,AT2G04240,XERICO,NUE058,AP2/EREBP,0.171173845,0.197791116,0.752938557,0.718681319
X257643_at,X256524_at,AT3G25730,EDF3,PD,AT1G66200,GLN1;2,NUE014,AP2/EREBP,0.553171774,0.588379352,0.539444273,0.481318681
