GeneID	CommonName	OligosNum	OligosIDs	OligosSites	P-values	log2(MeanRatios)	Description
At1g13260	RAV1	10	35563333,35563334,35563335,35563337,35563339,35563340,35563341,35563342,35563343,35563344,	4536209,4537003,4537403,4538405,4539605,4540170,4540680,4541749,4542371,4543143,	0.00082,0.0081,0.0012,0.00017,0.0032,4.2e-05,3.5e-05,0.00012,0.00013,3.7e-05,	1.2,0.84,1,1.2,0.84,1.5,2.1,1.3,1.4,1.9,	DNA-binding protein RAV1 (RAV1) identical to SP|Q9ZWM9 DNA-binding protein RAV1 {Arabidopsis thaliana}, RAV1 GI:3868857 from [Arabidopsis thaliana]
At1g13360		9	35563401,35563402,35563403,35563404,35563408,35563409,35563410,35563411,35563412,	4577271,4578162,4578589,4579261,4584582,4585372,4586345,4586739,4587649,	0.001,0.0081,0.0047,0.00091,0.0006,0.0001,0.0049,0.0081,0.003,	0.88,0.89,0.91,1.1,1.1,2.3,0.75,0.95,0.76,	expressed protein 
At1g18710		9	35566492,35566493,35566494,35566498,35566501,35566502,35566503,35566505,35566507,	6443704,6444343,6445135,6447361,6449227,6449782,6450461,6451814,6452897,	0.0041,0.00049,5.3e-05,0.0068,0.0027,0.00078,0.0066,0.00076,0.00034,	0.93,1,1.4,0.67,0.76,1,0.92,0.94,1.1,	myb family transcription factor (MYB47) contains Pfam profile: PF00249 myb-like DNA-binding domain
At5g11100		9	35702110,35702111,35702113,35702114,35702115,35702116,35702117,35702119,35702120,	3526503,3527008,3528041,3528546,3528965,3529430,3530022,3531176,3531564,	0.00043,0.00072,7.2e-05,0.00076,0.0012,0.0078,0.00091,0.0072,0.0062,	1.5,1.2,1.5,1.1,1,0.72,0.89,0.77,0.69,	C2 domain-containing protein similar to Ca2+-dependent lipid-binding protein (CLB1) GI:2789434 from [Lycopersicon esculentum]
At1g69760		8	35595570,35595571,35595572,35595573,35595574,35595575,35595578,35595580,	26243866,26244532,26245312,26246668,26247187,26247864,26249913,26251022,	0.005,2.9e-05,0.00093,0.0025,0.00075,0.00063,0.0015,0.0022,	0.86,1.9,0.95,0.9,1.6,1.2,1.2,0.93,	expressed protein 
At2g30040		8	35621489,35621493,35621494,35621495,35621496,35621497,35621498,35621499,	12824091,12826620,12827124,12827642,12828175,12828641,12829028,12829462,	0.0014,3.8e-05,4.7e-06,1.7e-05,0.0025,0.00019,0.00048,0.0072,	1.1,1.9,2.9,2.4,0.84,1.1,1,0.89,	protein kinase family protein contains protein kinase domain, Pfam:PF00069
At3g11580		8	35638719,35638720,35638721,35638724,35638725,35638726,35638727,35638728,	3649883,3650378,3651177,3653032,3653674,3654292,3654904,3655357,	0.0027,0.0015,0.00014,0.00046,1.3e-05,0.0034,0.00054,0.00071,	0.8,0.9,1.4,1.1,2.2,0.8,1.3,0.96,	DNA-binding protein, putative similar to DNA-binding proteins from [Arabidopsis thaliana] RAV1 GI:3868857 and RAV2 GI:3868859, AP2 domain containing protein RAP2.8 [Arabidopsis thaliana] GI:2281641; contains Pfam profile PF02362: B3 DNA binding domain
At3g14440		8	35640659,35640662,35640663,35640666,35640667,35640669,35640670,35640671,	4831773,4833406,4833973,4835479,4836575,4837762,4838239,4838962,	0.0036,0.0094,0.0017,0.0011,0.0013,0.0011,0.0031,3.6e-05,	0.81,0.79,1.2,0.9,0.9,1.3,0.93,1.5,	9-cis-epoxycarotenoid dioxygenase, putative / neoxanthin cleavage enzyme, putative / carotenoid cleavage dioxygenase, putative similar to 9-cis-epoxycarotenoid dioxygenase GB:AAF26356 [GI:6715257][Phaseolus vulgaris]
At4g16490		8	35681650,35681651,35681652,35681653,35681654,35681655,35681657,35681658,	9295788,9296175,9297003,9297606,9298237,9298724,9300678,9301238,	0.0011,0.0022,0.00031,0.0027,0.0042,0.0014,0.0054,0.0011,	1.4,0.84,1.3,0.96,0.82,0.91,0.68,0.98,	armadillo/beta-catenin repeat family protein contains Pfam profile: PF00514 armadillo/beta-catenin-like repeat
At1g25560		7	35570521,35570522,35570523,35570524,35570525,35570528,35570534,	8982792,8983245,8983719,8984216,8984609,8987784,8991158,	0.0091,0.008,6.9e-06,0.00075,0.0012,0.00051,0.0057,	0.64,0.89,2,1.2,1.1,1,0.85,	AP2 domain-containing transcription factor, putative similar to DNA-binding protein RAV2 GI:3868859 from [Arabidopsis thaliana]
At1g69260		7	35595234,35595235,35595236,35595237,35595238,35595239,35595240,	26038748,26039156,26040533,26041024,26041469,26042094,26043009,	0.0066,0.0001,0.00012,5.4e-05,0.00099,4.3e-05,0.0013,	0.71,1.8,1.3,1.4,1,1.7,0.89,	expressed protein 
At2g47460	MYB12	7	35632275,35632276,35632277,35632278,35632280,35632281,35632282,	19482459,19482867,19483443,19483927,19485196,19485736,19486206,	0.0068,6.1e-05,3.7e-05,0.004,0.00019,0.00086,2.7e-05,	0.87,1.4,2.2,0.79,1.3,0.98,1.9,	myb family transcription factor (MYB12) similar to myb-related DNA-binding protein GI:1020155 from [Arabidopsis thaliana]
At3g07360		7	35636542,35636543,35636544,35636545,35636548,35636549,35636550,	2348769,2349431,2350270,2351225,2353597,2354522,2354983,	2.4e-05,0.0031,0.0043,0.0097,0.0013,2.3e-05,5.8e-05,	1.7,0.81,0.89,0.76,0.92,1.8,1.6,	armadillo/beta-catenin repeat family protein / U-box domain-containing protein contains Pfam domain, PF00514: Armadillo/beta-catenin-like repeats and Pfam, PF04564: U-box domain
